# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -2.500e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   2.000e-010 m
# Parameter mode                  Z before V
# Raster time                     5.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -6.431e+000, 2.781e+000 [nm]
#                      end        -5.475e+000, 2.781e+000 [nm]
# 
# 
#              Position                                I(r)
# ---------------------             -----------------------
   4.9706400572325e-011             -3.312658740327040e-011
   5.0662292891024e-011             -3.102069752013890e-011
   5.1618185209723e-011             -3.141724530808769e-011
   5.2574077528421e-011             -3.141871305398772e-011
   5.3529969847120e-011             -3.248268911928952e-011
   5.4485862165818e-011             -3.231101044325773e-011
   5.5441754484517e-011             -3.271589029919755e-011
   5.6397646803215e-011             -3.204238377287155e-011
   5.7353539121914e-011             -3.191037568921494e-011
   5.8309431440613e-011             -3.083481732781506e-011
   5.9265323759311e-011             -3.117613119683164e-011
   6.0221216078010e-011             -3.162487301157662e-011
   6.1177108396708e-011             -3.262481175314418e-011
   6.2133000715407e-011             -3.277395530959383e-011
   6.3088893034105e-011             -3.230749921431071e-011
   6.4044785352804e-011             -3.148657787827504e-011
   6.5000677671502e-011             -3.113415458527043e-011
   6.5956569990201e-011             -3.043486424655430e-011
   6.6912462308900e-011             -3.106524268702514e-011
   6.7868354627598e-011             -3.194616811616810e-011
   6.8824246946297e-011             -3.326383546261401e-011
   6.9780139264995e-011             -3.217758834916815e-011
   7.0736031583694e-011             -3.169703513792897e-011
   7.1691923902392e-011             -3.127774342972606e-011
   7.2647816221091e-011             -3.147211382584397e-011
   7.3603708539789e-011             -3.092285751703146e-011
   7.4559600858488e-011             -3.169095688895597e-011
   7.5515493177187e-011             -3.217790308547517e-011
   7.6471385495885e-011             -3.288767337556531e-011
   7.7427277814584e-011             -3.127989284840811e-011
   7.8383170133282e-011             -3.092668348228549e-011
   7.9339062451981e-011             -3.073194768499164e-011
   8.0294954770679e-011             -3.099585791666980e-011
   8.1250847089378e-011             -3.127156078041708e-011
   8.2206739408077e-011             -3.230514099495670e-011
   8.3162631726775e-011             -3.246916927577948e-011
   8.4118524045474e-011             -3.231646075491576e-011
   8.5074416364172e-011             -3.098495729335374e-011
   8.6030308682871e-011             -3.027314198491753e-011
   8.6986201001569e-011             -3.002259499624542e-011
   8.7942093320268e-011             -3.142861726821475e-011
   8.8897985638966e-011             -3.179110137595037e-011
   8.9853877957665e-011             -3.231158771570376e-011
   9.0809770276364e-011             -3.168854493413491e-011
   9.1765662595062e-011             -3.179885770679442e-011
   9.2721554913761e-011             -3.014370245658596e-011
   9.3677447232459e-011             -2.982964014585956e-011
   9.4633339551158e-011             -3.012976194113387e-011
   9.5589231869856e-011             -3.178570479975939e-011
   9.6545124188555e-011             -3.150402808737509e-011
   9.7501016507253e-011             -3.159872379801053e-011
   9.8456908825952e-011             -3.124666744148093e-011
