# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   -2.000e-011 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -9.307e+000, -7.739e+000 [nm]
#                      end        -6.895e+000, -9.167e+000 [nm]
# 
# 
#             Position                                 I(r)
# --------------------             ------------------------
   2.046115154791e-010             -2.5415494145981457e-013
   2.074144129514e-010             -1.8835202380818956e-013
   2.102173104237e-010             -1.5325815792669529e-013
   2.130202078960e-010             -2.0729454359320471e-013
   2.158231053683e-010             -2.7558157512164561e-013
   2.186260028407e-010             -2.0397215643039285e-013
   2.214289003130e-010             -2.1254373107456044e-013
   2.242317977853e-010             -1.9154698114913758e-013
   2.270346952576e-010             -2.1305037976389864e-013
   2.298375927299e-010             -1.6411118697194350e-013
   2.326404902022e-010             -2.2151908937113995e-013
   2.354433876746e-010             -2.0039644492291187e-013
   2.382462851469e-010             -3.1465647146209140e-013
   2.410491826192e-010             -1.7529430531479080e-013
   2.438520800915e-010             -2.8435427394248986e-013
   2.466549775638e-010             -2.2080978120606645e-013
   2.494578750361e-010             -1.4996187084787964e-013
   2.522607725085e-010             -1.8853011849898724e-013
   2.550636699808e-010             -2.8288345744435038e-013
   2.578665674531e-010             -2.6675667613280892e-013
   2.606694649254e-010             -2.0184269663611373e-013
   2.634723623977e-010             -2.0633037578440351e-013
   2.662752598700e-010             -2.5448349545835510e-013
   2.690781573424e-010             -1.8345902570842920e-013
   2.718810548147e-010             -2.6224289690052295e-013
   2.746839522870e-010             -7.6172327493413951e-014
   2.774868497593e-010             -4.3249220950875196e-013
   2.802897472316e-010             -1.4113697185904296e-013
   2.830926447039e-010             -2.3402102960532527e-013
   2.858955421763e-010             -1.6984245835769981e-013
   2.886984396486e-010             -3.0504703465430977e-013
   2.915013371209e-010             -2.7038305250922371e-013
   2.943042345932e-010             -1.7585161887306286e-013
   2.971071320655e-010             -3.0791190269765861e-013
   2.999100295378e-010             -2.0965276294721534e-013
   3.027129270101e-010             -1.9679616863049327e-013
   3.055158244825e-010             -1.9015292960392815e-013
   3.083187219548e-010             -2.5415494145981457e-013
   3.111216194271e-010             -2.4913297823913176e-013
   3.139245168994e-010             -1.4889637330121079e-013
   3.167274143717e-010             -3.9222438579977334e-013
   3.195303118440e-010             -1.7567352418226518e-013
   3.223332093164e-010             -1.9180184079286529e-013
   3.251361067887e-010             -2.3500976219906412e-013
