# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   -2.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      3.920e+000, -3.538e+000 [nm]
#                      end        3.880e+000, -6.815e+000 [nm]
# 
# 
#             Position                                I(r)
# --------------------             -----------------------
   1.409083278294e-010             -7.496082300627215e-013
   1.441852656858e-010             -6.126795129233030e-013
   1.474622035423e-010             -7.272696287600817e-013
   1.507391413988e-010             -6.514765201341421e-013
   1.540160792553e-010             -7.513078061205926e-013
   1.572930171118e-010             -6.706462641798303e-013
   1.605699549683e-010             -7.778561974419155e-013
   1.638468928248e-010             -6.966127771579435e-013
   1.671238306813e-010             -7.602340348472968e-013
   1.704007685378e-010             -6.663351444232796e-013
   1.736777063943e-010             -8.222324814317095e-013
   1.769546442508e-010             -6.786344251817296e-013
   1.802315821073e-010             -7.344701813449190e-013
   1.835085199638e-010             -7.384773118878666e-013
   1.867854578203e-010             -8.020218046242901e-013
   1.900623956768e-010             -7.015318753417000e-013
   1.933393335333e-010             -8.020985695772201e-013
   1.966162713898e-010             -6.529719014172193e-013
   1.998932092463e-010             -8.436591150935404e-013
   2.031701471028e-010             -6.374530985328837e-013
   2.064470849593e-010             -8.460173344475511e-013
   2.097240228158e-010             -7.762088215520369e-013
   2.130009606723e-010             -7.880751479759615e-013
   2.162778985288e-010             -7.290689992567617e-013
   2.195548363853e-010             -8.309545153836198e-013
   2.228317742418e-010             -8.339974781177665e-013
   2.261087120983e-010             -8.007797476858821e-013
   2.293856499548e-010             -7.110154176266763e-013
   2.326625878113e-010             -8.397794143724566e-013
   2.359395256678e-010             -7.440304885828253e-013
   2.392164635242e-010             -8.802483622581118e-013
   2.424934013807e-010             -7.284349207455597e-013
   2.457703392372e-010             -9.582737957152568e-013
   2.490472770937e-010             -7.435223045944286e-013
   2.523242149502e-010             -9.120981412287828e-013
   2.556011528067e-010             -7.655584519825240e-013
   2.588780906632e-010             -9.071283781760924e-013
   2.621550285197e-010             -7.303371562791660e-013
   2.654319663762e-010             -8.644516702441694e-013
   2.687089042327e-010             -8.382824977903209e-013
   2.719858420892e-010             -8.791076350575715e-013
   2.752627799457e-010             -8.013877261130880e-013
   2.785397178022e-010             -9.536832515300407e-013
   2.818166556587e-010             -7.742820212334930e-013
   2.850935935152e-010             -1.007999061625215e-012
   2.883705313717e-010             -7.855142691462156e-013
   2.916474692282e-010             -9.153176633546683e-013
   2.949244070847e-010             -8.262135118906609e-013
   2.982013449412e-010             -8.960465895711127e-013
   3.014782827977e-010             -7.907895567115675e-013
   3.047552206542e-010             -1.009419213254421e-012
   3.080321585107e-010             -9.038059910132805e-013
   3.113090963672e-010             -9.159010769969366e-013
   3.145860342237e-010             -8.908480669586909e-013
   3.178629720802e-010             -1.013704232926976e-012
   3.211399099367e-010             -8.777888131662335e-013
   3.244168477932e-010             -9.783048425328196e-013
   3.276937856497e-010             -7.832834796140688e-013
   3.309707235062e-010             -1.049330847581804e-012
   3.342476613626e-010             -9.043126397026187e-013
   3.375245992191e-010             -9.431848765673292e-013
   3.408015370756e-010             -8.529645626877192e-013
   3.440784749321e-010             -1.088101754708647e-012
   3.473554127886e-010             -8.764960913588917e-013
   3.506323506451e-010             -9.992509275893087e-013
   3.539092885016e-010             -9.958011106046331e-013
   3.571862263581e-010             -1.048240785250198e-012
   3.604631642146e-010             -9.062655401051588e-013
   3.637401020711e-010             -1.062187441898526e-012
   3.670170399276e-010             -9.263733518756518e-013
   3.702939777841e-010             -1.118632711787980e-012
   3.735709156406e-010             -9.040086504890157e-013
   3.768478534971e-010             -1.093857590879341e-012
   3.801247913536e-010             -9.465072637301412e-013
   3.834017292101e-010             -1.002901868750661e-012
   3.866786670666e-010             -9.756932988341400e-013
   3.899556049231e-010             -1.187045637839226e-012
   3.932325427796e-010             -9.310391257147393e-013
   3.965094806361e-010             -1.066523126440015e-012
   3.997864184926e-010             -9.692527192833101e-013
   4.030633563491e-010             -1.154182561489879e-012
   4.063402942056e-010             -9.598459419512639e-013
