# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   -2.000e-011 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      4.041e+000, -3.618e+000 [nm]
#                      end        3.598e+000, -6.413e+000 [nm]
# 
# 
#             Position                                 I(r)
# --------------------             ------------------------
   2.065181354073e-010             -2.3323495648732176e-013
   2.093471509608e-010             -1.3010738342205572e-013
   2.121761665143e-010             -3.0867187573166595e-013
   2.150051820678e-010             -1.5277607402229469e-013
   2.178341976214e-010             -3.1148761420513964e-013
   2.206632131749e-010             -1.6591209276768210e-013
   2.234922287284e-010             -2.1419110696443896e-013
   2.263212442819e-010             -2.6533652450360325e-013
   2.291502598355e-010             -1.9469127362115177e-013
   2.319792753890e-010             -2.4436587466217663e-013
   2.348082909425e-010             -1.9319589233807472e-013
   2.376373064960e-010             -2.7768647013098710e-013
   2.404663220496e-010             -1.5282673889122853e-013
   2.432953376031e-010             -2.9191101590892237e-013
   2.461243531566e-010             -2.5466159014915280e-013
   2.489533687101e-010             -2.3576973523307146e-013
   2.517823842636e-010             -2.7826988377325536e-013
   2.546113998172e-010             -2.5220204105727451e-013
   2.574404153707e-010             -2.4913297823913176e-013
   2.602694309242e-010             -1.4250645861931476e-013
   2.630984464777e-010             -2.5103521377273801e-013
   2.659274620313e-010             -2.5628440125409367e-013
   2.687564775848e-010             -2.1644799658058192e-013
   2.715854931383e-010             -1.9885039877090100e-013
   2.744145086918e-010             -2.2575497947381923e-013
   2.772435242454e-010             -2.7180320413842933e-013
   2.800725397989e-010             -1.7737310024013613e-013
   2.829015553524e-010             -2.4406188544857370e-013
   2.857305709059e-010             -2.7322335576763495e-013
   2.885595864595e-010             -2.0453100528772350e-013
   2.913886020130e-010             -2.3267764292904967e-013
   2.942176175665e-010             -2.1819823750738670e-013
   2.970466331200e-010             -2.6987640381988548e-013
   2.998756486736e-010             -2.2453748732034889e-013
   3.027046642271e-010             -2.5293744930634420e-013
   3.055336797806e-010             -2.5275935461554650e-013
   3.083626953341e-010             -3.2015898328811622e-013
   3.111917108877e-010             -2.2050579199246353e-013
   3.140207264412e-010             -1.7922467090480856e-013
   3.168497419947e-010             -2.6409446756519534e-013
   3.196787575482e-010             -2.1682875074711490e-013
   3.225077731018e-010             -2.8478569297795663e-013
   3.253367886553e-010             -1.9910372311557009e-013
   3.281658042088e-010             -2.8514034706049342e-013
   3.309948197623e-010             -2.7829444855819300e-013
   3.338238353158e-010             -1.2445287698922941e-013
   3.366528508694e-010             -3.2370859471160098e-013
   3.394818664229e-010             -1.9342465189780621e-013
   3.423108819764e-010             -2.7205652848309844e-013
   3.451398975299e-010             -2.2228059770420591e-013
   3.479689130835e-010             -2.6959697939122016e-013
   3.507979286370e-010             -2.9490331377413509e-013
   3.536269441905e-010             -1.9048301890152732e-013
   3.564559597440e-010             -2.8744790154557021e-013
   3.592849752976e-010             -2.3265154284505351e-013
   3.621139908511e-010             -2.9361059196679332e-013
   3.649430064046e-010             -2.3485776759226263e-013
   3.677720219581e-010             -2.8899548299663972e-013
   3.706010375117e-010             -2.6604736796773539e-013
   3.734300530652e-010             -2.2499347114075330e-013
   3.762590686187e-010             -2.9386391631146243e-013
   3.790880841722e-010             -2.2430872776061740e-013
   3.819170997258e-010             -2.9969651743508639e-013
   3.847461152793e-010             -1.9986523144863602e-013
   3.875751308328e-010             -2.2623552807916125e-013
   3.904041463863e-010             -2.8709324746303348e-013
   3.932331619399e-010             -2.1294905002603099e-013
   3.960621774934e-010             -2.4360590162816929e-013
   3.988911930469e-010             -1.5929341852605456e-013
   4.017202086004e-010             -2.8536910662022488e-013
   4.045492241540e-010             -1.9552801160808911e-013
   4.073782397075e-010             -2.5516823883849097e-013
   4.102072552610e-010             -2.9234243494438919e-013
   4.130362708145e-010             -2.3140948590664554e-013
   4.158652863680e-010             -2.1662609127137962e-013
   4.186943019216e-010             -2.1510460990430633e-013
   4.215233174751e-010             -3.2921110653762586e-013
   4.243523330286e-010             -2.2070845146819880e-013
   4.271813485821e-010             -2.8222481414821072e-013
   4.300103641357e-010             -2.8838596927037526e-013
   4.328393796892e-010             -1.9961037180490834e-013
   4.356683952427e-010             -3.1894149113464585e-013
   4.384974107962e-010             -2.7449151279003913e-013
   4.413264263498e-010             -2.1738606430538696e-013
   4.441554419033e-010             -2.4350457189030167e-013
   4.469844574568e-010             -2.4183109591642693e-013
   4.498134730103e-010             -2.8980612089958087e-013
   4.526424885639e-010             -2.3115616156197643e-013
   4.554715041174e-010             -2.8288345744435038e-013
   4.583005196709e-010             -2.2169718406193765e-013
   4.611295352244e-010             -2.4434130987723903e-013
   4.639585507780e-010             -2.9799694137721544e-013
   4.667875663315e-010             -2.3731731668414092e-013
   4.696165818850e-010             -2.2854308256423804e-013
   4.724455974385e-010             -2.8998421559037853e-013
   4.752746129921e-010             -2.4844977015805445e-013
   4.781036285456e-010             -2.1084415501668945e-013
   4.809326440991e-010             -3.0775990809085717e-013
   4.837616596526e-010             -2.6632525709734211e-013
   4.865906752062e-010             -2.2253392204887502e-013
   4.894196907597e-010             -2.9797237659227785e-013
   4.922487063132e-010             -1.8249485789962800e-013
   4.950777218667e-010             -3.1523988510435970e-013
   4.979067374202e-010             -1.8089814687868327e-013
