# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -2.600e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   5.000e-011 m
# Parameter mode                  Z before V
# Raster time                     5.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -6.431e+000, 2.781e+000 [nm]
#                      end        -5.475e+000, 2.781e+000 [nm]
# 
# 
#              Position                               I(r)
# ---------------------             ----------------------
   3.4412123473148e-011             -2.60074701510995e-010
   3.5368015791847e-011             -2.56673204993591e-010
   3.6323908110546e-011             -2.68667475564564e-010
   3.7279800429244e-011             -2.81086069018755e-010
   3.8235692747943e-011             -2.83639914643514e-010
   3.9191585066641e-011             -2.65465224017789e-010
   4.0147477385340e-011             -2.58325215951327e-010
   4.1103369704038e-011             -2.55638628369962e-010
   4.2059262022737e-011             -2.57222984839382e-010
   4.3015154341435e-011             -2.56746728930208e-010
   4.3971046660134e-011             -2.71879003388252e-010
   4.4926938978833e-011             -2.79486462423786e-010
   4.5882831297531e-011             -2.73494016709274e-010
   4.6838723616230e-011             -2.53221401331933e-010
   4.7794615934928e-011             -2.50142457329049e-010
   4.8750508253627e-011             -2.54596977088272e-010
   4.9706400572325e-011             -2.63468021025614e-010
   5.0662292891024e-011             -2.65228457873466e-010
   5.1618185209723e-011             -2.76840068971775e-010
   5.2574077528421e-011             -2.79620722791161e-010
   5.3529969847120e-011             -2.68896014041231e-010
   5.4485862165818e-011             -2.50570867178361e-010
   5.5441754484517e-011             -2.46686984302642e-010
   5.6397646803215e-011             -2.53878034921605e-010
   5.7353539121914e-011             -2.65910927475697e-010
   5.8309431440613e-011             -2.69898624203161e-010
   5.9265323759311e-011             -2.75862717549958e-010
   6.0221216078010e-011             -2.67436851998245e-010
   6.1177108396708e-011             -2.56645064497146e-010
   6.2133000715407e-011             -2.41978301925465e-010
   6.3088893034105e-011             -2.46781471212605e-010
   6.4044785352804e-011             -2.57196049552698e-010
   6.5000677671502e-011             -2.74390507000273e-010
   6.5956569990201e-011             -2.71926745047778e-010
   6.6912462308900e-011             -2.70270645588648e-010
   6.7868354627598e-011             -2.63136875442262e-010
   6.8824246946297e-011             -2.55375398275767e-010
   6.9780139264995e-011             -2.43410212410160e-010
   7.0736031583694e-011             -2.48696921065209e-010
   7.1691923902392e-011             -2.64319652948718e-010
   7.2647816221091e-011             -2.75346057175458e-010
   7.3603708539789e-011             -2.66751658775485e-010
   7.4559600858488e-011             -2.62050522393181e-010
   7.5515493177187e-011             -2.49870528230388e-010
   7.6471385495885e-011             -2.47624037194769e-010
   7.7427277814584e-011             -2.46216180240425e-010
   7.8383170133282e-011             -2.60017841710360e-010
   7.9339062451981e-011             -2.68359493038110e-010
   8.0294954770679e-011             -2.73222245746416e-010
   8.1250847089378e-011             -2.59800937729959e-010
   8.2206739408077e-011             -2.53961096135975e-010
   8.3162631726775e-011             -2.48412833933303e-010
   8.4118524045474e-011             -2.49966220350113e-010
   8.5074416364172e-011             -2.51890527342985e-010
   8.6030308682871e-011             -2.60703612205566e-010
   8.6986201001569e-011             -2.66818631591020e-010
   8.7942093320268e-011             -2.69801359937200e-010
   8.8897985638966e-011             -2.54377871489021e-010
   8.9853877957665e-011             -2.47044753506969e-010
   9.0809770276364e-011             -2.44953484276772e-010
   9.1765662595062e-011             -2.58004184918174e-010
   9.2721554913761e-011             -2.59094468332845e-010
   9.3677447232459e-011             -2.65701254753862e-010
   9.4633339551158e-011             -2.62843564233612e-010
   9.5589231869856e-011             -2.58750639643970e-010
   9.6545124188555e-011             -2.44655614765217e-010
   9.7501016507253e-011             -2.43362261949962e-010
   9.8456908825952e-011             -2.50925753091056e-010
   9.9412801144651e-011             -2.64609870529766e-010
   1.0036869346335e-010             -2.64167836436608e-010
   1.0132458578205e-010             -2.63508844627582e-010
   1.0228047810075e-010             -2.58073987289873e-010
   1.0323637041944e-010             -2.51511377563969e-010
   1.0419226273814e-010             -2.39480528492924e-010
   1.0514815505684e-010             -2.42534265955864e-010
   1.0610404737554e-010             -2.51673046090138e-010
   1.0705993969424e-010             -2.67981391868350e-010
   1.0801583201294e-010             -2.63346023091819e-010
   1.0897172433164e-010             -2.59897887259612e-010
   1.0992761665033e-010             -2.48715944955844e-010
   1.1088350896903e-010             -2.46087683385715e-010
   1.1183940128773e-010             -2.38339831998365e-010
   1.1279529360643e-010             -2.50120970818724e-010
   1.1375118592513e-010             -2.58427353256500e-010
   1.1470707824383e-010             -2.70862663046841e-010
   1.1566297056253e-010             -2.61612836266957e-010
   1.1661886288122e-010             -2.51048643033604e-010
   1.1757475519992e-010             -2.39983510888111e-010
   1.1853064751862e-010             -2.44622128357450e-010
   1.1948653983732e-010             -2.43412361828842e-010
   1.2044243215602e-010             -2.55175107766479e-010
   1.2139832447472e-010             -2.63649499515536e-010
   1.2235421679342e-010             -2.71209427227516e-010
   1.2331010911211e-010             -2.54737317239919e-010
   1.2426600143081e-010             -2.46265125574413e-010
   1.2522189374951e-010             -2.38163384683457e-010
   1.2617778606821e-010             -2.45624267182568e-010
   1.2713367838691e-010             -2.47326272083550e-010
   1.2808957070561e-010             -2.60939067204492e-010
   1.2904546302431e-010             -2.66793320650740e-010
   1.3000135534300e-010             -2.67712292325854e-010
   1.3095724766170e-010             -2.49136074937333e-010
   1.3191313998040e-010             -2.41930351465266e-010
   1.3286903229910e-010             -2.39159967261283e-010
   1.3382492461780e-010             -2.49368385643787e-010
   1.3478081693650e-010             -2.51485856287717e-010
   1.3573670925520e-010             -2.60713464219625e-010
   1.3669260157389e-010             -2.56669380563636e-010
   1.3764849389259e-010             -2.53885109579667e-010
   1.3860438621129e-010             -2.41790953987241e-010
   1.3956027852999e-010             -2.37329046368949e-010
   1.4051617084869e-010             -2.41146113029638e-010
   1.4147206316739e-010             -2.57092653302298e-010
   1.4242795548609e-010             -2.60393322124627e-010
   1.4338384780478e-010             -2.59922622462746e-010
   1.4433974012348e-010             -2.53463459652110e-010
   1.4529563244218e-010             -2.52895389788634e-010
   1.4625152476088e-010             -2.40696688006812e-010
   1.4720741707958e-010             -2.39932257999637e-010
   1.4816330939828e-010             -2.48948149726663e-010
   1.4911920171698e-010             -2.63526086036010e-010
   1.5007509403567e-010             -2.58363368132934e-010
   1.5103098635437e-010             -2.51607382884701e-010
   1.5198687867307e-010             -2.42872486197278e-010
   1.5294277099177e-010             -2.43297909889921e-010
   1.5389866331047e-010             -2.37997785791698e-010
   1.5485455562917e-010             -2.44841128021066e-010
   1.5581044794787e-010             -2.52675132715089e-010
   1.5676634026656e-010             -2.63023418377131e-010
   1.5772223258526e-010             -2.54689208643918e-010
   1.5867812490396e-010             -2.45257379837132e-010
   1.5963401722266e-010             -2.38858640256248e-010
   1.6058990954136e-010             -2.45260052792793e-010
   1.6154580186006e-010             -2.46925583594040e-010
   1.6250169417876e-010             -2.55207230828682e-010
   1.6345758649745e-010             -2.57522950034153e-010
   1.6441347881615e-010             -2.63664015768135e-010
   1.6536937113485e-010             -2.49225057800171e-010
   1.6632526345355e-010             -2.37775902836450e-010
   1.6728115577225e-010             -2.31735402261403e-010
   1.6823704809095e-010             -2.44763517118354e-010
   1.6919294040965e-010             -2.51507970735358e-010
   1.7014883272834e-010             -2.58806503035517e-010
   1.7110472504704e-010             -2.54976650404267e-010
   1.7206061736574e-010             -2.58429502675182e-010
   1.7301650968444e-010             -2.43482950273659e-010
   1.7397240200314e-010             -2.33514600463752e-010
   1.7492829432184e-010             -2.30834143331528e-010
   1.7588418664054e-010             -2.48233923998705e-010
   1.7684007895923e-010             -2.55049755204242e-010
   1.7779597127793e-010             -2.59248538663974e-010
   1.7875186359663e-010             -2.53105219110973e-010
   1.7970775591533e-010             -2.49390552291595e-010
   1.8066364823403e-010             -2.36727229096865e-010
   1.8161954055273e-010             -2.31646680399405e-010
   1.8257543287143e-010             -2.36738390721021e-010
   1.8353132519012e-010             -2.52753058354107e-010
   1.8448721750882e-010             -2.58743198049433e-010
   1.8544310982752e-010             -2.57771874211720e-010
   1.8639900214622e-010             -2.44481840405970e-010
   1.8735489446492e-010             -2.40702138318470e-010
   1.8831078678362e-010             -2.34656921304716e-010
   1.8926667910232e-010             -2.34528163449166e-010
   1.9022257142101e-010             -2.40698470489019e-010
   1.9117846373971e-010             -2.56218698130881e-010
   1.9213435605841e-010             -2.59619250439364e-010
   1.9309024837711e-010             -2.50475489794944e-010
   1.9404614069581e-010             -2.37957485726708e-010
   1.9500203301451e-010             -2.36333982201892e-010
   1.9595792533321e-010             -2.35374659796920e-010
   1.9691381765190e-010             -2.38238113829836e-010
   1.9786970997060e-010             -2.41409604124673e-010
   1.9882560228930e-010             -2.55401757825304e-010
   1.9978149460800e-010             -2.55166250626210e-010
