# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -2.500e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   3.000e-010 m
# Parameter mode                  Z before V
# Raster time                     5.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      5.648e-001, 1.169e+001 [nm]
#                      end        1.130e+000, 1.130e+001 [nm]
# 
# 
#              Position                                I(r)
# ---------------------             -----------------------
   9.6866901458529e-011              3.586456605002404e-011
   9.7553900759653e-011              3.707128347470111e-011
   9.8240900060778e-011              3.575865651506459e-011
   9.8927899361902e-011              3.496999488284824e-011
   9.9614898663026e-011              3.472654251112593e-011
   1.0030189796415e-010              3.582750546604847e-011
   1.0098889726527e-010              3.708725519080773e-011
   1.0167589656640e-010              3.626153297461583e-011
   1.0236289586752e-010              3.290576687497093e-011
   1.0304989516865e-010              3.864333452216657e-011
   1.0373689446977e-010              3.671137713408489e-011
   1.0442389377090e-010              3.629332134162415e-011
   1.0511089307202e-010              3.699189008978276e-011
   1.0579789237315e-010              3.727240304548063e-011
   1.0648489167427e-010              3.702895067375831e-011
   1.0717189097539e-010              3.655259036424816e-011
   1.0785889027652e-010              3.940020778737459e-011
   1.0854588957764e-010              3.896618027880724e-011
   1.0923288887877e-010              3.573229543022841e-011
   1.0991988817989e-010              3.555753694428507e-011
   1.1060688748102e-010              3.700786180588938e-011
   1.1129388678214e-010              3.669556048318318e-011
   1.1198088608326e-010              3.460481632526477e-011
   1.1266788538439e-010              3.800291522585247e-011
   1.1335488468551e-010              3.720370915970165e-011
   1.1404188398664e-010              3.797639907581138e-011
   1.1472888328776e-010              3.832048876552591e-011
   1.1541588258889e-010              3.801873187675418e-011
   1.1610288189001e-010              4.069174587914218e-011
   1.1678988119113e-010              3.675913721719984e-011
   1.1747688049226e-010              3.472654251112593e-011
   1.1816387979338e-010              3.565817426227729e-011
